a,q0eff_lss,q0eff_gw,geff_over_g_lss,geff_over_g_gw
4.318045112781955241e-01,-1.539132340686658485e-03,-1.000000024612578504e-06,9.976604956162506976e-01,9.999984782052111498e-01
4.342857142857143304e-01,-1.621610617830827623e-03,-1.000000025932362774e-06,9.975423242589599448e-01,9.999984825586653026e-01
4.367669172932331367e-01,-1.707619491198161419e-03,-1.000000027308642447e-06,9.974194915719242216e-01,9.999984868749695055e-01
4.392481203007519430e-01,-1.797214422047810648e-03,-1.000000028742304579e-06,9.972919528002567313e-01,9.999984911546492272e-01
4.417293233082706938e-01,-1.890441228066376197e-03,-1.000000030234082701e-06,9.971596780771031510e-01,9.999984953982195002e-01
4.442105263157895001e-01,-1.987334985781565207e-03,-1.000000031784537759e-06,9.970226538495872148e-01,9.999984996061851428e-01
4.466917293233083064e-01,-2.087918932148462390e-03,-1.000000033394042025e-06,9.968808842815268800e-01,9.999985037790414255e-01
4.491729323308271127e-01,-2.192203380684983743e-03,-1.000000035062760035e-06,9.967343926105268759e-01,9.999985079172738489e-01
4.516541353383459190e-01,-2.300184669220323511e-03,-1.000000036790633344e-06,9.965832224350745783e-01,9.999985120213584766e-01
4.541353383458647253e-01,-2.411844157825083525e-03,-1.000000038577363796e-06,9.964274389056086978e-01,9.999985160917624905e-01
4.566165413533834760e-01,-2.527147296738261120e-03,-1.000000040422398490e-06,9.962671297922974789e-01,9.999985201289439685e-01
4.590977443609022823e-01,-2.646042785015830043e-03,-1.000000042324916652e-06,9.961024064015654433e-01,9.999985241333525510e-01
4.615789473684210886e-01,-2.768461841119797782e-03,-1.000000044283817350e-06,9.959334043133326597e-01,9.999985281054291075e-01
4.640601503759398949e-01,-2.894317606671052354e-03,-1.000000046297711027e-06,9.957602839115775595e-01,9.999985320456064031e-01
4.665413533834587012e-01,-3.023504704037877685e-03,-1.000000048364911240e-06,9.955832306822762767e-01,9.999985359543092089e-01
4.690225563909775075e-01,-3.155898967271552648e-03,-1.000000050483431274e-06,9.954024552550591043e-01,9.999985398319543028e-01
4.715037593984962583e-01,-3.291357364095268221e-03,-1.000000052650982445e-06,9.952181931680896820e-01,9.999985436789508020e-01
4.739849624060150646e-01,-3.429718124188694921e-03,-1.000000054864975797e-06,9.950307043397033091e-01,9.999985474957002740e-01
4.764661654135338709e-01,-3.570801085899548942e-03,-1.000000057122529089e-06,9.948402722352016614e-01,9.999985512825971812e-01
4.789473684210526772e-01,-3.714408269795625717e-03,-1.000000059420473782e-06,9.946472027227998280e-01,9.999985550400285472e-01
4.814285714285714834e-01,-3.860324683215460816e-03,-1.000000061755369865e-06,9.944518226189503762e-01,9.999985587683745125e-01
4.839097744360902897e-01,-4.008319355282967747e-03,-1.000000064123521308e-06,9.942544779299515856e-01,9.999985624680084451e-01
4.863909774436090405e-01,-4.158146596848238084e-03,-1.000000066520997031e-06,9.940555318037008758e-01,9.999985661392970515e-01
4.888721804511278468e-01,-4.309547474654678786e-03,-1.000000068943653138e-06,9.938553622124499665e-01,9.999985697826002662e-01
4.913533834586466531e-01,-4.462251483881464822e-03,-1.000000071387161714e-06,9.936543593942146479e-01,9.999985733982719172e-01
4.938345864661654594e-01,-4.615978398251186117e-03,-1.000000073847038355e-06,9.934529230868469618e-01,9.999985769866596153e-01
4.963157894736842657e-01,-4.770440272308532417e-03,-1.000000076318675413e-06,9.932514595944313962e-01,9.999985805481047541e-01
4.987969924812030720e-01,-4.925343566444420444e-03,-1.000000078797375878e-06,9.930503787304126861e-01,9.999985840829427319e-01
5.012781954887218783e-01,-5.080391361921312438e-03,-1.000000081278388744e-06,9.928500906854823560e-01,9.999985875915032851e-01
5.037593984962406291e-01,-5.235285630685636640e-03,-1.000000083756945002e-06,9.926510028706021505e-01,9.999985910741103767e-01
