a,D_gr,D_lss,D_gw,q0_lss,q0_gw
3.896240601503759837e-01,3.804745469820591253e-01,3.546408006659917955e-01,3.804610189909371498e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.921052631578947900e-01,3.827310243102880483e-01,3.567389644162050066e-01,3.827174132400891216e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.945864661654135963e-01,3.849836387707987750e-01,3.588335219035920787e-01,3.849699450154655533e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.970676691729323471e-01,3.872323565453219540e-01,3.609244418615824013e-01,3.872185804187694980e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
3.995488721804511534e-01,3.894771438762410498e-01,3.630116931763107124e-01,3.894632856964689860e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.020300751879699597e-01,3.917179672097088616e-01,3.650952448866167654e-01,3.917040272397964151e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.045112781954887660e-01,3.939547931956477456e-01,3.671750661840455510e-01,3.939407715847491609e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.069924812030075723e-01,3.961875886877494479e-01,3.692511264128472970e-01,3.961734854120891880e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.094736842105263785e-01,3.984163207434752718e-01,3.713233950699774133e-01,3.984021357846987965e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.119548872180451293e-01,4.006409566240559106e-01,3.733918418050964916e-01,4.006266900579626422e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.144360902255639356e-01,4.028614637944917254e-01,3.754564364205705829e-01,4.028471156163763167e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.169172932330827419e-01,4.050778099235523566e-01,3.775171488716995705e-01,4.050633800811506147e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.193984962406015482e-01,4.072899628837770014e-01,3.795739495172668621e-01,4.072754513102701535e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.218796992481203545e-01,4.094978907514744138e-01,3.816268089683375053e-01,4.094832973984933178e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.243609022556391608e-01,4.117015618067226823e-01,3.836756978912182481e-01,4.116868866773522040e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.268421052631579116e-01,4.139009445333694526e-01,3.857205871888760296e-01,4.138861877151528423e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.293233082706767179e-01,4.160960076190319268e-01,3.877614480009376474e-01,4.160811693169749192e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.318045112781955241e-01,4.182867199550966419e-01,3.897982517036899797e-01,4.182718005246720550e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.342857142857143304e-01,4.204730506486496489e-01,3.918309699100797072e-01,4.204580506168715814e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.367669172932331367e-01,4.226549693439277111e-01,3.938595744697137579e-01,4.226398891089745424e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.392481203007519430e-01,4.248324458582077856e-01,3.958840374688588071e-01,4.248172857531558599e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.417293233082706938e-01,4.270054501744496300e-01,3.979043312304415547e-01,4.269902105383642232e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.442105263157895001e-01,4.291739525620887896e-01,3.999204283140488925e-01,4.291586336903221999e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.466917293233083064e-01,4.313379235770361531e-01,4.019323015159274037e-01,4.313225256715259581e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.491729323308271127e-01,4.334973340616780080e-01,4.039399238689838634e-01,4.334818571812457111e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.516541353383459190e-01,4.356521551448763185e-01,4.059432686427849046e-01,4.356365992282034139e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.541353383458647253e-01,4.378023582419685589e-01,4.079423093435572412e-01,4.377867233922831947e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.566165413533834760e-01,4.399479150547674910e-01,4.099370197141874450e-01,4.399322013344033611e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.590977443609022823e-01,4.420887975715618312e-01,4.119273737342222241e-01,4.420730049892291902e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.615789473684210886e-01,4.442249780671153059e-01,4.139133456272135470e-01,4.442091066030167124e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.640601503759398949e-01,4.463564291026675401e-01,4.158949101401200332e-01,4.463404787336128776e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.665413533834587012e-01,4.484831235259333915e-01,4.178720422485469599e-01,4.484670942504555557e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.690225563909775075e-01,4.506050344711033939e-01,4.198447171132020372e-01,4.505889263345734808e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
4.715037593984962583e-01,4.527221353588434805e-01,4.218129101961861638e-01,4.527059484785862509e-01,-1.999996000800240061e-03,-1.000999197651551907e-06
