k, T, P_m
4.265795188015925610e-01,1.827345977499865784e-02,2.163426726763584156e+03
4.365158322401661017e-01,1.763917150292553318e-02,2.061132888490237292e+03
4.466835921509630380e-01,1.702553911488061122e-02,1.963361963345798131e+03
4.570881896148751844e-01,1.643196061447096609e-02,1.869934516230343661e+03
4.677351412871981196e-01,1.585784773912525883e-02,1.780676858701628817e+03
4.786300923226385340e-01,1.530262585907013646e-02,1.695420959371059325e+03
4.897788193684461389e-01,1.476573386375317799e-02,1.614004348456217031e+03
5.011872336272724660e-01,1.424662403658314563e-02,1.536270017169988478e+03
5.128613839913648276e-01,1.374476191883691745e-02,1.462066312591788574e+03
5.248074602497728725e-01,1.325962616355647050e-02,1.391246828631395374e+03
5.370317963702526676e-01,1.279070838023576608e-02,1.323670293661879441e+03
5.495408738576248453e-01,1.233751297107022263e-02,1.259200455364045865e+03
5.623413251903490728e-01,1.189955695951641461e-02,1.197705963291765102e+03
5.754399373371572590e-01,1.147636981188126376e-02,1.139060249634889487e+03
5.888436553555890240e-01,1.106749325263445619e-02,1.083141408624912856e+03
6.025595860743581111e-01,1.067248107410874794e-02,1.029832074997501422e+03
6.165950018614821948e-01,1.029089894122668311e-02,9.790193018963302620e+02
6.309573444801935826e-01,9.922324191863559489e-03,9.305944385736387403e+02
6.456542290346556356e-01,9.566345633429881867e-03,8.844530082151968600e+02
6.606934480075964400e-01,9.222563336228372863e-03,8.404945861905520132e+02
6.760829753919819218e-01,8.890588424114382118e-03,7.986226790038942909e+02
