k, T, P_m
9.772372209558111145e-02,1.383492577202194984e-01,2.762787012812775356e+04
1.000000000000000056e-01,1.346736352614301691e-01,2.676750580613752027e+04
1.023292992280754737e-01,1.310718101319684747e-01,2.592449668222100081e+04
1.047128548050899610e-01,1.275432652097288622e-01,2.509896432228505000e+04
1.071519305237607078e-01,1.240874488302675244e-01,2.429100316949473927e+04
1.096478196143185063e-01,1.207037760405739735e-01,2.350068126127103096e+04
1.122018454301964147e-01,1.173916298891444360e-01,2.272804099471540758e+04
1.148153621496882937e-01,1.141503627469400151e-01,2.197309993538899289e+04
1.174897554939530325e-01,1.109792976540516785e-01,2.123585166446264338e+04
1.202264434617413141e-01,1.078777296871553104e-01,2.051626665936698191e+04
1.230268770812381063e-01,1.048449273430684808e-01,1.981429320319148246e+04
1.258925411794167559e-01,1.018801339339654305e-01,1.912985831822011096e+04
1.288249551693133599e-01,9.898256899003096687e-02,1.846286871913788491e+04
1.318256738556407293e-01,9.615142966555657866e-02,1.781321178160154523e+04
1.348962882591653312e-01,9.338589214470756350e-02,1.718075652203789286e+04
1.380384264602885214e-01,9.068511304339267609e-02,1.656535458470744561e+04
1.412537544622753938e-01,8.804823080388649026e-02,1.596684123225846452e+04
1.445439770745927943e-01,8.547436707904759734e-02,1.538503633618388631e+04
1.479108388168207111e-01,8.296262810318348613e-02,1.481974536379169149e+04
1.513561248436208762e-01,8.051210604679703842e-02,1.427076035849591426e+04
1.548816618912481069e-01,7.812188035264705510e-02,1.373786091043992201e+04
1.584893192461114264e-01,7.579101905073068468e-02,1.322081511466482152e+04
1.621810097358929725e-01,7.351858004998319818e-02,1.271938051424245168e+04
1.659586907437561321e-01,7.130361240465736550e-02,1.223330502599445390e+04
1.698243652461744191e-01,6.914515755352233783e-02,1.176232784662332779e+04
1.737800828749376247e-01,6.704225053018032787e-02,1.130618033728074079e+04
1.778279410038922925e-01,6.499392114296689837e-02,1.086458688479708690e+04
1.819700858609984429e-01,6.299919512305068858e-02,1.043726573798949903e+04
1.862087136662867459e-01,6.105709523950554607e-02,1.002392981765563127e+04
1.905460717963248229e-01,5.916664238026956429e-02,9.624287499044441574e+03
1.949844599758045471e-01,5.732685659805202005e-02,9.238043365774425183e+03
1.995262314968880846e-01,5.553675812038180032e-02,8.864898934341590575e+03
2.041737944669529681e-01,5.379536832312784012e-02,8.504553348526200352e+03
2.089296130854040867e-01,5.210171066694388453e-02,8.156704043164700124e+03
2.137962089502232488e-01,5.045481159621696687e-02,7.821047376905563397e+03
2.187761623949551759e-01,4.885370140021184915e-02,7.497279233710475637e+03
2.238721138568340041e-01,4.729741503621882198e-02,7.185095592998057327e+03
2.290867652767772378e-01,4.578499291461707310e-02,6.884193068454557761e+03
2.344228815319922832e-01,4.431548164586694705e-02,6.594269415654537625e+03
2.398832919019489862e-01,4.288793474954358254e-02,6.315024008746052459e+03
2.454708915685031023e-01,4.150141332561162189e-02,6.046158286556166786e+03
2.511886431509579576e-01,4.015498668823055950e-02,5.787376168567515379e+03
2.570395782768864490e-01,3.884773296245742219e-02,5.538384441301635889e+03
