z,a,rho_m_over_rho_m0,Omega_m_z,tau_gyr
305.63204005,3.261237800971e-03,2.883052807657e+07,9.999999245729e-01,1.010247532529e+00
304.25531915,3.275946190841e-03,2.844393785503e+07,9.999999235478e-01,1.010247533047e+00
302.87859825,3.290787853327e-03,2.806081904663e+07,9.999999225039e-01,1.010247533574e+00
301.50187735,3.305764608046e-03,2.768115599506e+07,9.999999214410e-01,1.010247534111e+00
300.12515645,3.320878307890e-03,2.730493304405e+07,9.999999203586e-01,1.010247534658e+00
298.74843554,3.336130839795e-03,2.693213453728e+07,9.999999192562e-01,1.010247535215e+00
297.37171464,3.351524125521e-03,2.656274481848e+07,9.999999181333e-01,1.010247535782e+00
295.99499374,3.367060122462e-03,2.619674823134e+07,9.999999169896e-01,1.010247536359e+00
294.61827284,3.382740824474e-03,2.583412911958e+07,9.999999158244e-01,1.010247536948e+00
293.24155194,3.398568262732e-03,2.547487182689e+07,9.999999146373e-01,1.010247537548e+00
291.86483104,3.414544506600e-03,2.511896069698e+07,9.999999134278e-01,1.010247538159e+00
290.48811014,3.430671664541e-03,2.476638007356e+07,9.999999121954e-01,1.010247538781e+00
289.11138924,3.446951885038e-03,2.441711430034e+07,9.999999109394e-01,1.010247539416e+00
287.73466834,3.463387357552e-03,2.407114772102e+07,9.999999096594e-01,1.010247540062e+00
286.35794743,3.479980313503e-03,2.372846467931e+07,9.999999083547e-01,1.010247540721e+00
284.98122653,3.496733027278e-03,2.338904951891e+07,9.999999070247e-01,1.010247541393e+00
283.60450563,3.513647817273e-03,2.305288658353e+07,9.999999056690e-01,1.010247542078e+00
282.22778473,3.530727046960e-03,2.271996021688e+07,9.999999042867e-01,1.010247542776e+00
280.85106383,3.547973125991e-03,2.239025476265e+07,9.999999028773e-01,1.010247543488e+00
279.47434293,3.565388511328e-03,2.206375456457e+07,9.999999014400e-01,1.010247544214e+00
278.09762203,3.582975708411e-03,2.174044396633e+07,9.999998999743e-01,1.010247544954e+00
276.72090113,3.600737272363e-03,2.142030731163e+07,9.999998984794e-01,1.010247545709e+00
275.34418023,3.618675809220e-03,2.110332894420e+07,9.999998969545e-01,1.010247546480e+00
273.96745932,3.636793977214e-03,2.078949320772e+07,9.999998953989e-01,1.010247547265e+00
272.59073842,3.655094488081e-03,2.047878444591e+07,9.999998938119e-01,1.010247548067e+00
271.21401752,3.673580108414e-03,2.017118700248e+07,9.999998921926e-01,1.010247548885e+00
269.83729662,3.692253661061e-03,1.986668522112e+07,9.999998905402e-01,1.010247549720e+00
268.46057572,3.711118026558e-03,1.956526344556e+07,9.999998888539e-01,1.010247550572e+00
267.08385482,3.730176144613e-03,1.926690601948e+07,9.999998871327e-01,1.010247551441e+00
265.70713392,3.749431015631e-03,1.897159728660e+07,9.999998853759e-01,1.010247552328e+00
264.33041302,3.768885702291e-03,1.867932159062e+07,9.999998835823e-01,1.010247553234e+00
262.95369212,3.788543331168e-03,1.839006327525e+07,9.999998817512e-01,1.010247554159e+00
261.57697121,3.808407094409e-03,1.810380668420e+07,9.999998798815e-01,1.010247555104e+00
260.20025031,3.828480251463e-03,1.782053616117e+07,9.999998779721e-01,1.010247556068e+00
258.82352941,3.848766130858e-03,1.754023604987e+07,9.999998760220e-01,1.010247557053e+00
257.44680851,3.869268132049e-03,1.726289069400e+07,9.999998740302e-01,1.010247558059e+00
256.07008761,3.889989727311e-03,1.698848443727e+07,9.999998719955e-01,1.010247559087e+00
254.69336671,3.910934463703e-03,1.671700162338e+07,9.999998699167e-01,1.010247560137e+00
253.31664581,3.932105965088e-03,1.644842659605e+07,9.999998677927e-01,1.010247561210e+00
251.93992491,3.953507934230e-03,1.618274369898e+07,9.999998656221e-01,1.010247562306e+00
250.56320401,3.975144154946e-03,1.591993727587e+07,9.999998634038e-01,1.010247563427e+00
249.18648310,3.997018494340e-03,1.565999167042e+07,9.999998611364e-01,1.010247564572e+00
247.80976220,4.019134905105e-03,1.540289122636e+07,9.999998588185e-01,1.010247565743e+00
246.43304130,4.041497427908e-03,1.514862028737e+07,9.999998564488e-01,1.010247566940e+00
245.05632040,4.064110193846e-03,1.489716319718e+07,9.999998540257e-01,1.010247568164e+00
243.67959950,4.086977426995e-03,1.464850429947e+07,9.999998515478e-01,1.010247569416e+00
242.30287860,4.110103447034e-03,1.440262793797e+07,9.999998490135e-01,1.010247570696e+00
240.92615770,4.133492671975e-03,1.415951845637e+07,9.999998464211e-01,1.010247572005e+00
239.54943680,4.157149620966e-03,1.391916019838e+07,9.999998437691e-01,1.010247573345e+00
238.17271589,4.181078917210e-03,1.368153750771e+07,9.999998410557e-01,1.010247574716e+00
