T,P_calc,dP_dT
0.0035731138347010007,1.0765788032637305,16.158902635934126
0.0036564146063313395,1.077894996914118,15.448141433354134
0.003741657386773942,1.079181562422195,14.743779844489517
0.0038288874504980967,1.0804369801220788,14.04624908639201
0.003918151127466536,1.081659726409172,13.355955103584296
0.0040094958277423825,1.0828482741739824,12.673279537004278
0.004102970066669762,1.0840010932569035,11.998580653422252
0.004198623490641454,1.0851166509239616,11.332194237108837
0.004296506903467278,1.0861934123635066,10.674434445452512
0.0043966722933572,1.0872298412038146,10.02559463015042
0.0044991728605335134,1.0882244000515422,9.38594812552416
0.0046040630454867405,1.089175551050963,8.755749005443644
0.00471139855789027,1.0900817564638865,8.135232810276424
0.004821236406189097,1.0909414792701428,7.524617245217221
0.004933634927878356,1.0917531837884964,6.924102851292435
0.005048653820487762,1.0925153363178233,6.333873650277141
0.005166354173288383,1.093226405798368,5.754097764707241
0.005286798499738609,1.09388486449287,5.184928014117144
0.005410050770686532,1.0944891886873245,4.6265024885831085
0.005536176448346397,1.095037859411116,4.078945100604567
0.005665242521067126,1.095529363176241,3.5423661163097853
0.0057973175389114395,1.0959621927353027,3.0168626669283105
0.005932471650064416,1.0963348478579367,2.502519241430705
0.006070776638090869,1.0966458361253049,1.9994081611957029
0.006212305960061301,1.0968936737422508,1.5075900375264806
0.006357134785566707,1.0970768863666973,1.0271142128007615
0.006505340036642926,1.0971940099558282,0.5580191860041334
0.006657000428625774,1.0972435916285674,0.10033302336204979
0.006812196511958626,1.097224190543842,-0.34592624524648685
0.006971010714974675,1.0971343787940797,-0.7807502434417004
0.007133527387676587,1.096972742313368,-1.2041398784402744
0.007299832846536769,1.0967378817996591,-1.6161049835036656
0.007470015420342143,1.0964284136503928,-2.0166639721715836
0.0076441654971076385,1.0960429709108495,-2.4058435037410613
0.007822375572083422,1.095580204234548,-2.7836781594768167
0.008004740296881335,1.0950387828549397,-3.1502101290628555
0.008191356529746605,1.094417395567641,-3.505488906828543
0.008382323387001575,1.0937147517224013,-3.849570997304716
0.008577742295688738,1.0929295822239797,-4.182519629686855
0.008777717047441045,1.092060640541068,-4.504404480802918
0.008982353853608124,1.0911067037223685,-4.81530140620324
0.009191761401667648,1.0900665734189028,-5.115292179008845
0.009406050912951845,1.088939076911599,-5.404464236172796
0.009625336201719788,1.0877230681431707,-5.682910431826705
0.009849733735606863,1.086417428753278,-5.950728797401323
0.010079362697483487,1.085021069115926,-6.20802230822633
0.010314345048756012,1.0835329293780271,-6.454898656329897
0.010554805594143265,1.081951980498033,-6.691470029173573
0.010800872047963346,1.0802772252835058,-6.9178528940722686
0.01105267510196574,1.0785076994264775,-7.134167788062923
0.011310348494744792,1.0766424725354207,-7.340539112998578
0.011574029082771487,1.0746806491626257,-7.537094935657292
0.01184385691308116,1.0726213698257618,-7.723966792667419
0.012119975297655813,1.0704638120223706,-7.901289500062523
0.01240253088954052,1.068207191236028,-8.069200967290309
0.012691673760734348,1.0658507619328792,-8.227842015510703
0.012987557481897172,1.0633938185472451,-8.377356200028537
0.013290339203914696,1.0608356964549743,-8.517889636716102
0.013600179741365046,1.0581757729331993,-8.64959083229028
0.0139172436579312,1.0554134681051441,-8.772610518318018
0.01424169935380469,1.0525482458686195,-8.88710148883259
0.014573719155126947,1.049579614806824,-8.993218441451248
0.01491347940551581,1.0465071290800707,-9.0911178218929
