T,dP_dT
0.03190525406896504,-7.731558361490901
0.03264906812190556,-7.578375187645637
0.03341022287190356,-7.423565535020563
0.03418912258636062,-7.267481166240749
0.03498618095745122,-7.110452657436461
0.03580182132184454,-6.952790179608238
0.036636476885548615,-6.794784271040795
0.037490590953996324,-6.636706599507916
0.038364617167495514,-6.478810713126379
0.03925901974216813,-6.321332778828141
0.04017427371650645,-6.164492307526341
0.04111086520367732,-6.0084928651522205
0.04206929164970846,-5.8535227688367675
0.043050062097693846,-5.69975576760282
0.044053697458158646,-5.547351707020523
0.04508073078572718,-5.396457177361491
0.0461317075622409,-5.247206144864883
0.04720718598647682,-5.099720565801853
0.048307737270620134,-4.954110983093716
0.04943394594364862,-4.810477105303586
0.05058641016178987,-4.668908367881549
0.05176574202621633,-4.529484476599488
0.05297256790814677,-4.392275933163835
0.054207528781526945,-4.257344543042768
0.05547128056346615,-4.124743905588887
0.056764494462610345,-3.994519886579335
0.058087857335637094,-3.8667110733328203
0.059442072052061465,-3.741349212597143
0.06082785786754676,-3.618459631431859
0.062245950805918326,-3.498061641338659
0.06369710405008329,-3.380168925917194
0.065182088342064,-3.264789912346384
0.06670169239235735,-3.151928127011081
0.06825672329883778,-3.0415825356112145
0.06984800697542613,-2.9337478681055957
0.07147638859075219,-2.828414928855337
0.07314273301704383,-2.725570892342613
0.07484792528948132,-2.6251995848493253
0.07659287107626045,-2.5272817524872706
0.07837849715961456,-2.4317953159767556
0.08020575192805061,-2.338715612574404
0.08207560588006087,-2.2480156255532346
0.08398905213957775,-2.1596662016390935
0.08594710698344561,-2.0736362568072884
0.08795081038118956,-1.9898929708418949
0.09000122654736799,-1.9084019710577942
0.09209944450680226,-1.8291275055821397
0.09424657867298372,-1.7520326065877263
0.09644376943996523,-1.677079243865729
0.0986921837880516,-1.6042284691195903
0.10099301590361051,-1.5334405513554876
0.10334748781333343,-1.4646751037379553
0.10575685003328299,-1.3978912022718506
0.10822238223307189,-1.333047496664069
0.1107453939155258,-1.2701023137102545
0.11332722511219159,-1.2090137535432772
0.11596924709505982,-1.149739779071528
0.1186728631048801,-1.0922382989261354
0.12143950909645548,-1.036467244227097
0.12427065450131237,-0.9823846394691028
0.12716780300815045,-0.929948667818487
0.1301324933614877,-0.879117731103388
0.13316630017892397,-0.8298505047697993
0.13627083478745822,-0.7821059880668169
0.13944774607930224,-0.7358435497150404
0.14269872138764683,-0.6910229693028117
0.14602548738284452,-0.6476044746457716
0.14942981098948527,-0.6055487753361293
0.15291350032485218,-0.5648170926990628
0.15647840565925558,-0.5253711863648454
0.16012642039875574,-0.4871733776566078
0.16385948209079573,-0.4501865699851369
0.16767957345327905,-0.41437426643377073
0.17158872342763834,-0.37970058470829915
0.17558900825645435,-0.34613026961881727
0.17968255258619795,-0.31362870325271774
0.18387153059568018,-0.28216191299045085
0.1881581671508106,-0.2516965775083324
0.19254473898627647,-0.22220003090554047
0.19703357591477055,-0.1936402650855181
0.20162706206441033,-0.1659859305152882
0.20632763714500502,-0.13920633547968864
0.2111377977438435,-0.11327144394125478
0.2160600986516914,-0.08815187211040598
0.22109715421970105,-0.0638188838247308
0.22625163974795579,-0.04024438483051762
0.2315262929063854,-0.017400916054228395
0.23692391518880776,0.0047383540536305255
0.24244737340086897,0.026199638024832626
0.24809960118267185,0.047008538657396334
0.2538836005669023,0.06719005900930058
0.2598024435732801,0.08676861303853961
0.2658592738401816,0.10576803683040668
0.27205730829430136,0.12421160035702336
0.2783998388592378,0.14212201971808852
0.2848902342039126,0.15952146981561813
0.2915319415317508,0.1764315974190853
0.2983284884115728,0.19287353458085849
0.30528348465116956,0.20886791236518015
0.312400624214558,0.22443487485713143
0.3196836871839329,0.23959409342110297
0.32713654176735874,0.2543647811812369
0.33476314635326665,0.26876570769913216
0.342567551612849,0.28281521382681885
0.35055390265146746,0.29653122671561144
0.35872644121021663,0.3099312749639575
0.36708950791881395,0.32303250388980825
0.37564754460101146,0.3358516909153588
0.38440509663375405,0.34840526105424846
0.3933668153613372,0.3607093024934753
0.40253746056584705,0.37277958226437735
0.4119219029951933,0.38463156199906506
0.4215251269500798,0.3962804137706706
0.4313522329312853,0.40774103601770606
0.4414084403486604,0.41902806955471184
