k, T, P_m
4.365158322401661017e-01,1.634681163860733297e-02,1.910590258898639604e+03
4.466835921509630380e-01,1.577549642820653616e-02,1.819351075139700015e+03
4.570881896148751844e-01,1.522298934878243103e-02,1.732205166062773287e+03
4.677351412871981196e-01,1.468873125348818705e-02,1.648986167094969915e+03
4.786300923226385340e-01,1.417217637053005790e-02,1.569533317952174457e+03
4.897788193684461389e-01,1.367279216552147632e-02,1.493691353814313970e+03
5.011872336272724660e-01,1.319005919394988444e-02,1.421310392570299655e+03
5.128613839913648276e-01,1.272347094455214891e-02,1.352245818720577972e+03
5.248074602497728725e-01,1.227253367436680585e-02,1.286358164490202398e+03
5.370317963702526676e-01,1.183676623620647482e-02,1.223512988671542871e+03
5.495408738576248453e-01,1.141569989926559045e-02,1.163580753682213981e+03
5.623413251903490728e-01,1.100887816355275092e-02,1.106436701291477902e+03
5.754399373371572590e-01,1.061585656880798326e-02,1.051960727436626712e+03
5.888436553555890240e-01,1.023620249853940921e-02,1.000037256520456367e+03
6.025595860743581111e-01,9.869494979784648736e-03,9.505551155512163177e+02
6.165950018614821948e-01,9.515324479176216418e-03,9.034074084580978479e+02
6.309573444801935826e-01,9.173292695861659518e-03,8.584913908878643269e+02
6.456542290346556356e-01,8.843012351803307761e-03,8.157083457621748721e+02
6.606934480075964400e-01,8.524106979954711172e-03,7.749634598499721960e+02
6.760829753919819218e-01,8.216210710785506674e-03,7.361657015856085309e+02
