beta,gamma_min,gamma_max
2643323141.6327305,0.0,333333.0
2749904679.7156615,0.0,333333.0
2860783696.258266,0.0,333332.9999999209
2976133470.0613933,0.0,333333.0
3096134266.707348,0.0,333332.9999999224
3220973620.274187,0.0,333333.0
3350846626.409034,0.0,333332.99999985454
3485956247.218396,0.0,333333.0
3626513628.4520044,0.0,333333.0
3772738429.475798,0.0,333332.9999999992
3924859166.549803,0.0,333333.0
4083113569.9472995,0.0,333332.99999995076
4247748955.47343,0.0,333332.99999999965
4419022610.963805,0.0,333332.99999983626
4597202198.367147,0.0,333333.0
4782566172.040305,0.0,333333.0
4975404213.909408,0.0,333333.0
5176017686.177101,0.0,333333.0
5384720102.283455,0.0,333332.99999994255
5601837616.856502,0.0,333332.9999998363
5827709535.418067,0.0,333332.99999994197
6062688844.641498,0.0,333332.99999992613
6307142763.989911,0.0,333333.0
6561453319.597093,0.0,333332.9999997155
6826017941.287831,0.0,333333.0
7101250083.670789,0.0,333333.0
7387579872.274432,0.0,333332.9999998273
7685454775.735866,0.0,333332.9999999409
7995340305.093006,0.0,333333.0
8317720741.272955,0.0,333332.99999999243
8653099891.913422,0.0,333333.0
9002001878.700064,0.0,333333.0
9364971956.449947,0.0,333333.0
9742577365.221447,0.0,333332.999999988
10135408216.782011,0.0,333333.0
10544078416.819273,0.0,333333.0
10969226624.336626,0.0,333333.0
11411517249.732714,0.0,333332.9999999666
11871641493.124416,0.0,333332.99999969086
12350318424.536173,0.0,333333.0
12848296107.64363,0.0,333332.99999989214
13366352768.827848,0.0,333332.99999992125
13905298013.366875,0.0,333332.9999998685
14465974090.665594,0.0,333332.99999990524
15049257210.500816,0.0,333333.0
15656058912.338804,0.0,333333.0
16287327489.865088,0.0,333332.9999999086
16944049472.952822,0.0,333332.9999992607
17627251169.38567,0.0,333332.9999998382
18338000268.744392,0.0,333332.9999998896
19077407510.964153,0.0,333333.0
19846628422.169384,0.0,333332.99999919283
20646865120.499622,0.0,333332.99999976775
21479368194.747982,0.0,333333.0
22345438658.74831,0.0,333333.0
23246429984.565342,0.0,333333.0
24183750217.664967,0.0,333333.0
25158864177.370667,0.0,333333.0
26173295746.0445,0.0,333332.9999999085
27228630250.57009,0.0,333333.0
28326516939.859818,0.0,333333.0
29468671562.257397,0.0,333332.9999998253
30656879046.864124,0.0,333333.0
31892996292.978966,0.0,333332.9999996926
33178955072.011806,0.0,333332.9999991551
34516765046.404816,0.0,333333.0
35908516910.27981,0.0,333333.0
37356385656.72,0.0,333333.0
38862633976.79162,0.0,333333.0
40429615795.61788,0.0,333333.0
42059779951.03108,0.0,333333.0
43755674020.551636,0.0,333332.99999909877
45519948302.67513,0.0,333333.0
47355359958.68866,0.0,333332.9999998339
49264777321.48998,0.0,333332.9999989736
51251184378.142235,0.0,333333.0
53317685433.17035,0.0,333333.0
55467509959.886086,0.0,333332.9999990116
57704017647.32385,0.0,333332.9999991433
60030703650.67394,0.0,333332.9999983972
62451204053.4188,0.0,333333.0
64969301549.7085,0.0,333333.0
67588931355.855125,0.0,333333.0
70314187360.18521,0.0,333333.0
73149328520.85995,0.0,333332.999997318
76098785521.66325,0.0,333332.99999842467
79167167696.15685,0.0,333333.0
82359270231.02539,0.0,333333.0
85680081659.86758,0.0,333332.9999990963
89134791659.1451,0.0,333333.0
92728799158.47145,0.0,333333.0
96467720777.9173,0.0,333332.9999997263
100357399605.51558,0.0,333333.0
104403914328.6857,0.0,333332.99999788706
108613588733.84544,0.0,333332.9999981514
112993001589.05789,0.0,333333.0
117548996925.15604,0.0,333333.0
122288694731.4139,0.0,333332.99999662326
127219502082.47789,0.0,333332.9999973156
132349124713.94737,0.0,333332.9999987057
137685579064.69492,0.0,333332.99999543425
