R_over_R0,f_R,f_RR,m_s2_over_R0,hamiltonian_energy_proxy
114.58131713117214,0.9972743775296643,1.0900000000000004e-06,304938.6800899055,-152677.4105353867
119.18253993857046,0.9971436905692904,1.0900000000000004e-06,304897.18091766274,-152666.6220149393
123.96928952897149,0.9970089119249882,1.0900000000000004e-06,304854.36862367013,-152655.4873156826
128.94904649060086,0.9968699794601291,1.0900000000000004e-06,304810.2217123713,-152644.00028427455
134.12959303741576,0.9967268311346118,1.0900000000000004e-06,304764.71861718677,-152632.15471693166
139.51902517087842,0.9965794050076245,1.0900000000000004e-06,304717.8376973052,-152619.9443573553
145.12576533210253,0.9964276392404069,1.0900000000000004e-06,304669.55723431025,-152607.3628945699
150.958575564162,0.996271472099014,1.0900000000000004e-06,304619.85542863875,-152594.40396067023
157.026571205032,0.9961108419570863,1.0900000000000004e-06,304568.71039586316,-152581.06112847364
163.3392351328554,0.9959456872986236,1.0900000000000004e-06,304516.1001627916,-152567.3279090742
169.90643258529968,0.9957759467207744,1.0900000000000004e-06,304462.0026633811,-152553.19774929518
176.73842657668874,0.9956015589366328,1.0900000000000004e-06,304406.3957344538,-152538.66402903516
183.84589393658624,0.9954224627780544,1.0900000000000004e-06,304349.25711121195,-152523.7200585047
191.23994199531523,0.9952385971984805,1.0900000000000004e-06,304290.5644225399,-152508.3590753482
198.9321259418727,0.9950499012757932,1.0900000000000004e-06,304230.29518609063,-152492.5742416476
206.93446688209494,0.9948563142151777,1.0900000000000004e-06,304168.4268031425,-152476.3586408023
215.25947062478429,0.9946577753520127,1.0900000000000004e-06,304104.9365532206,-152459.7052742809
223.9201472252931,0.9944542241547818,1.0900000000000004e-06,304039.8015884728,-152442.60705823923
232.93003131715946,0.9942456002280093,1.0900000000000004e-06,303972.99892779003,-152425.05682000035
