# z   H_over_H0
2.187762e+02 4.559857e-03
2.238721e+02 4.456523e-03
2.290868e+02 4.355521e-03
2.344229e+02 4.256799e-03
2.398833e+02 4.160304e-03
2.454709e+02 4.065989e-03
2.511886e+02 3.973802e-03
2.570396e+02 3.883698e-03
2.630268e+02 3.795629e-03
2.691535e+02 3.709550e-03
2.754229e+02 3.625416e-03
2.818383e+02 3.543183e-03
2.884032e+02 3.462809e-03
2.951209e+02 3.384252e-03
3.019952e+02 3.307471e-03
3.090295e+02 3.232427e-03
3.162278e+02 3.159080e-03
3.235937e+02 3.087392e-03
3.311311e+02 3.017326e-03
3.388442e+02 2.948845e-03
3.467369e+02 2.881914e-03
3.548134e+02 2.816498e-03
3.630781e+02 2.752563e-03
3.715352e+02 2.690075e-03
3.801894e+02 2.629002e-03
3.890451e+02 2.569312e-03
3.981072e+02 2.510974e-03
4.073803e+02 2.453957e-03
4.168694e+02 2.398232e-03
4.265795e+02 2.343769e-03
4.365158e+02 2.290541e-03
4.466836e+02 2.238518e-03
4.570882e+02 2.187674e-03
4.677351e+02 2.137983e-03
4.786301e+02 2.089418e-03
4.897788e+02 2.041954e-03
5.011872e+02 1.995566e-03
5.128614e+02 1.950230e-03
5.248075e+02 1.905922e-03
5.370318e+02 1.862618e-03
5.495409e+02 1.820297e-03
5.623413e+02 1.778935e-03
5.754399e+02 1.738512e-03
5.888437e+02 1.699006e-03
6.025596e+02 1.660396e-03
6.165950e+02 1.622662e-03
6.309573e+02 1.585784e-03
6.456542e+02 1.549743e-03
6.606934e+02 1.514520e-03
6.760830e+02 1.480096e-03
6.918310e+02 1.446454e-03
7.079458e+02 1.413575e-03
7.244360e+02 1.381442e-03
7.413102e+02 1.350039e-03
7.585776e+02 1.319349e-03
7.762471e+02 1.289355e-03
7.943282e+02 1.260043e-03
8.128305e+02 1.231396e-03
8.317638e+02 1.203400e-03
8.511380e+02 1.176039e-03
8.709636e+02 1.149300e-03
8.912509e+02 1.123168e-03
