a w(a)
5.2463822497e-05 -1.0310233989e+00
5.2827666893e-05 -1.0310235611e+00
5.3194034603e-05 -1.0310237245e+00
5.3562943128e-05 -1.0310238891e+00
5.3934410088e-05 -1.0310240547e+00
5.4308453227e-05 -1.0310242216e+00
5.4685090410e-05 -1.0310243896e+00
5.5064339629e-05 -1.0310245587e+00
5.5446218996e-05 -1.0310247290e+00
5.5830746754e-05 -1.0310249005e+00
5.6217941269e-05 -1.0310250732e+00
5.6607821036e-05 -1.0310252471e+00
5.7000404676e-05 -1.0310254222e+00
5.7395710942e-05 -1.0310255985e+00
5.7793758716e-05 -1.0310257760e+00
5.8194567010e-05 -1.0310259548e+00
5.8598154970e-05 -1.0310261348e+00
5.9004541871e-05 -1.0310263160e+00
5.9413747126e-05 -1.0310264985e+00
5.9825790281e-05 -1.0310266823e+00
6.0240691015e-05 -1.0310268673e+00
6.0658469148e-05 -1.0310270537e+00
6.1079144634e-05 -1.0310272413e+00
6.1502737568e-05 -1.0310274302e+00
6.1929268181e-05 -1.0310276205e+00
6.2358756847e-05 -1.0310278120e+00
6.2791224081e-05 -1.0310280049e+00
6.3226690539e-05 -1.0310281991e+00
6.3665177022e-05 -1.0310283947e+00
6.4106704473e-05 -1.0310285916e+00
6.4551293983e-05 -1.0310287899e+00
6.4998966787e-05 -1.0310289895e+00
6.5449744269e-05 -1.0310291906e+00
6.5903647959e-05 -1.0310293930e+00
6.6360699539e-05 -1.0310295969e+00
6.6820920839e-05 -1.0310298021e+00
6.7284333843e-05 -1.0310300088e+00
6.7750960684e-05 -1.0310302169e+00
6.8220823652e-05 -1.0310304265e+00
6.8693945189e-05 -1.0310306375e+00
6.9170347894e-05 -1.0310308500e+00
6.9650054523e-05 -1.0310310639e+00
7.0133087988e-05 -1.0310312794e+00
7.0619471362e-05 -1.0310314963e+00
7.1109227877e-05 -1.0310317147e+00
7.1602380926e-05 -1.0310319347e+00
7.2098954065e-05 -1.0310321561e+00
7.2598971012e-05 -1.0310323791e+00
7.3102455651e-05 -1.0310326037e+00
7.3609432030e-05 -1.0310328298e+00
7.4119924366e-05 -1.0310330575e+00
7.4633957043e-05 -1.0310332867e+00
7.5151554612e-05 -1.0310335176e+00
7.5672741796e-05 -1.0310337500e+00
7.6197543492e-05 -1.0310339841e+00
7.6725984765e-05 -1.0310342198e+00
7.7258090857e-05 -1.0310344571e+00
7.7793887183e-05 -1.0310346961e+00
7.8333399337e-05 -1.0310349367e+00
7.8876653087e-05 -1.0310351790e+00
7.9423674383e-05 -1.0310354230e+00
7.9974489352e-05 -1.0310356686e+00
8.0529124306e-05 -1.0310359160e+00
8.1087605734e-05 -1.0310361651e+00
8.1649960315e-05 -1.0310364159e+00
8.2216214908e-05 -1.0310366684e+00
8.2786396561e-05 -1.0310369227e+00
8.3360532508e-05 -1.0310371788e+00
8.3938650173e-05 -1.0310374366e+00
8.4520777169e-05 -1.0310376963e+00
8.5106941303e-05 -1.0310379577e+00
