z,r_s_lcdm_Mpc,r_s_psitmg_Mpc,delta_r_s_Mpc
1134.3096234309623,141.8924218877505,132.70925957004442,9.183162317706064
1136.4016736401672,141.71807109460107,132.54603132797175,9.172039766629325
1138.4937238493724,141.54418218226456,132.38323600827366,9.160946173990908
1140.5857740585775,141.37075320702553,132.22087178674278,9.149881420282753
1142.6778242677824,141.19778223654677,132.05893684986484,9.138845386681936
1144.7698744769875,141.02526734978392,131.8974293947385,9.127837955045408
1146.8619246861924,140.85320663690004,131.736347628995,9.116859007905049
1148.9539748953976,140.68159819918117,131.57568977071847,9.105908428462698
1151.0460251046024,140.51044014895294,131.4154540483677,9.094986100585231
1153.1380753138076,140.33973060949762,131.25563870069794,9.084091908799678
1155.2301255230125,140.16946771497226,131.09624197668393,9.073225738288329
1157.3221757322176,139.99964961032708,130.937262135443,9.062387474884076
1159.4142259414225,139.83027445122556,130.77869744616007,9.051577005065496
1161.5062761506276,139.6613404039637,130.62054618801133,9.04079421595236
1163.5983263598328,139.492845645392,130.46280665009127,9.030038995300742
1165.6903765690377,139.3247883628363,130.30547713133777,9.019311231498534
1167.7824267782426,139.15716675402047,130.1485559404597,9.008610813560779
1169.8744769874477,138.98997902698957,129.99204139586436,8.997937631125211
1171.9665271966528,138.8232234000334,129.83593182558565,8.987291574447767
1174.0585774058577,138.65689810161126,129.68022556721328,8.976672534397977
1176.1506276150628,138.49100137027673,129.5249209678219,8.966080402454821
1178.2426778242677,138.32553145460398,129.37001638390194,8.955515070702035
1180.3347280334729,138.16048661311368,129.21551018128974,8.944976431823932
1182.4267782426778,137.99586511420057,129.0614007350995,8.934464379101058
1184.5188284518829,137.8316652360613,128.9076864296553,8.923978806405984
1186.6108786610878,137.66788526662268,128.75436565842358,8.913519608199096
1188.702928870293,137.50452350347084,128.60143682394667,8.903086679524165
1190.7949790794978,137.34157825378105,128.44889833777657,8.892679916004482
1192.887029288703,137.17904783424814,128.2967486204094,8.882299213838735
1194.979079497908,137.01693057101727,128.14498610122072,8.871944469796546
1197.071129707113,136.8552247996156,127.99360921840069,8.861615581214906
1199.1631799163179,136.69392886488487,127.84261641889104,8.851312445993827
1201.255230125523,136.53304112091348,127.69200615832086,8.841034962592616
1203.347280334728,136.37255993097065,127.54177690094498,8.830783030025671
1205.439330543933,136.21248366744015,127.39192711958135,8.8205565478588
1207.5313807531381,136.05281071175446,127.24245529554926,8.810355416205198
1209.623430962343,135.89353945433066,127.09335991860901,8.800179535721654
1211.7154811715482,135.7346682945056,126.94463948690081,8.790028807604799
1213.807531380753,135.57619564047252,126.79629250688527,8.779903133587254
1215.8995815899582,135.41811990921755,126.64831749328373,8.769802415933825
1217.991631799163,135.2604395264577,126.50071296901974,8.759726557437958
1220.0836820083682,135.1031529265781,126.35347746516008,8.749675461418022
1222.175732217573,134.94625855257107,126.20660952085753,8.73964903171354
