alpha,k,P_R
-6.000000e-02,1.000000e+00,1.974000e-09
-6.000000e-02,1.149757e+00,1.965013e-09
-6.000000e-02,1.321941e+00,1.956066e-09
-6.000000e-02,1.519911e+00,1.947160e-09
-6.000000e-02,1.747528e+00,1.938295e-09
-6.000000e-02,2.009233e+00,1.929470e-09
-6.000000e-02,2.310130e+00,1.920685e-09
-6.000000e-02,2.656088e+00,1.911941e-09
-6.000000e-02,3.053856e+00,1.903236e-09
-6.000000e-02,3.511192e+00,1.894571e-09
-6.000000e-02,4.037017e+00,1.885945e-09
-6.000000e-02,4.641589e+00,1.877358e-09
-6.000000e-02,5.336699e+00,1.868811e-09
-6.000000e-02,6.135907e+00,1.860302e-09
-6.000000e-02,7.054802e+00,1.851832e-09
-6.000000e-02,8.111308e+00,1.843401e-09
-6.000000e-02,9.326033e+00,1.835008e-09
-6.000000e-02,1.072267e+01,1.826654e-09
-6.000000e-02,1.232847e+01,1.818337e-09
-6.000000e-02,1.417474e+01,1.810058e-09
-6.000000e-02,1.629751e+01,1.801817e-09
-6.000000e-02,1.873817e+01,1.793614e-09
-6.000000e-02,2.154435e+01,1.785448e-09
-6.000000e-02,2.477076e+01,1.777319e-09
-6.000000e-02,2.848036e+01,1.769227e-09
-6.000000e-02,3.274549e+01,1.761172e-09
-6.000000e-02,3.764936e+01,1.753153e-09
-6.000000e-02,4.328761e+01,1.745171e-09
-6.000000e-02,4.977024e+01,1.737226e-09
-6.000000e-02,5.722368e+01,1.729316e-09
-6.000000e-02,6.579332e+01,1.721443e-09
-6.000000e-02,7.564633e+01,1.713605e-09
-6.000000e-02,8.697490e+01,1.705803e-09
-6.000000e-02,1.000000e+02,1.698037e-09
-5.000000e-02,1.000000e-04,2.706094e-09
-5.000000e-02,1.149757e-04,2.693623e-09
-5.000000e-02,1.321941e-04,2.681210e-09
-5.000000e-02,1.519911e-04,2.668853e-09
-5.000000e-02,1.747528e-04,2.656554e-09
-5.000000e-02,2.009233e-04,2.644311e-09
-5.000000e-02,2.310130e-04,2.632125e-09
-5.000000e-02,2.656088e-04,2.619995e-09
-5.000000e-02,3.053856e-04,2.607921e-09
-5.000000e-02,3.511192e-04,2.595902e-09
-5.000000e-02,4.037017e-04,2.583939e-09
-5.000000e-02,4.641589e-04,2.572031e-09
-5.000000e-02,5.336699e-04,2.560178e-09
-5.000000e-02,6.135907e-04,2.548380e-09
-5.000000e-02,7.054802e-04,2.536635e-09
-5.000000e-02,8.111308e-04,2.524945e-09
-5.000000e-02,9.326033e-04,2.513309e-09
-5.000000e-02,1.072267e-03,2.501727e-09
-5.000000e-02,1.232847e-03,2.490198e-09
-5.000000e-02,1.417474e-03,2.478722e-09
-5.000000e-02,1.629751e-03,2.467298e-09
-5.000000e-02,1.873817e-03,2.455928e-09
-5.000000e-02,2.154435e-03,2.444610e-09
-5.000000e-02,2.477076e-03,2.433344e-09
-5.000000e-02,2.848036e-03,2.422130e-09
-5.000000e-02,3.274549e-03,2.410968e-09
-5.000000e-02,3.764936e-03,2.399857e-09
-5.000000e-02,4.328761e-03,2.388797e-09
-5.000000e-02,4.977024e-03,2.377788e-09
-5.000000e-02,5.722368e-03,2.366830e-09
-5.000000e-02,6.579332e-03,2.355923e-09
-5.000000e-02,7.564633e-03,2.345066e-09
-5.000000e-02,8.697490e-03,2.334259e-09
-5.000000e-02,1.000000e-02,2.323501e-09
-5.000000e-02,1.149757e-02,2.312793e-09
-5.000000e-02,1.321941e-02,2.302135e-09
-5.000000e-02,1.519911e-02,2.291526e-09
-5.000000e-02,1.747528e-02,2.280965e-09
-5.000000e-02,2.009233e-02,2.270453e-09
-5.000000e-02,2.310130e-02,2.259990e-09
-5.000000e-02,2.656088e-02,2.249575e-09
-5.000000e-02,3.053856e-02,2.239208e-09
-5.000000e-02,3.511192e-02,2.228889e-09
-5.000000e-02,4.037017e-02,2.218617e-09
-5.000000e-02,4.641589e-02,2.208392e-09
-5.000000e-02,5.336699e-02,2.198215e-09
-5.000000e-02,6.135907e-02,2.188085e-09
-5.000000e-02,7.054802e-02,2.178001e-09
-5.000000e-02,8.111308e-02,2.167964e-09
-5.000000e-02,9.326033e-02,2.157973e-09
-5.000000e-02,1.072267e-01,2.148028e-09
-5.000000e-02,1.232847e-01,2.138129e-09
-5.000000e-02,1.417474e-01,2.128275e-09
-5.000000e-02,1.629751e-01,2.118467e-09
-5.000000e-02,1.873817e-01,2.108704e-09
-5.000000e-02,2.154435e-01,2.098986e-09
-5.000000e-02,2.477076e-01,2.089313e-09
