T_Gyr,dchi2_smooth
0.025563001022086942,0.6583461252813426
0.026158113632978573,0.640137653185564
0.026767080603901573,0.6224143763501765
0.02739022446758067,0.6051637138708618
0.028027875265377297,0.5883734040294838
0.02868037072209273,0.5720314966311697
0.029348056424840122,0.5561263451915621
0.030031286006081098,0.5406465991967583
0.03073042133092306,0.5255811968662577
0.03144583268877749,0.5109193578312222
0.03217789898947952,0.4966505760886857
0.0329270079639732,0.4827646133058404
0.03369355636966934,0.46925149196982274
0.034477950200583536,0.4561014888370537
0.03528060490236658,0.44330512870112637
0.03610194559234044,0.4308531780940066
0.03694240728465747,0.4187366393035046
0.03780243512070063,0.40694674423194854
0.0386824846048479,0.3954749488689748
0.0395830218457249,0.38431292779051457
0.040504523803074774,0.3734525682931956
0.04144747854037432,0.36288596523712296
0.04241238548333173,0.35260541602016277
0.043399755684401624,0.34260341517432696
0.044410112093458895,0.33287264953961815
0.04544398983477311,0.32340599355405203
0.046501936490431425,0.31419650438220964
0.04758451239035909,0.3052374173034658
0.048692290909092634,0.2965221413014905
0.049825858769461134,0.28804425472686584
0.05098581635333771,0.27979750091476446
0.05217277801962484,0.27177578405389224
0.05338737242964351,0.26397316519120495
0.05463024288009641,0.25638385828638344
0.05590204764378322,0.24900222626830498
0.05720346031824722,0.24182277731881588
0.058535170182539537,0.23484016119181958
0.05989788256228787,0.22804916562520378
0.06129231920326471,0.22144471293410908
0.06271921865365171,0.215021856478653
0.06417933665520435,0.20877577741991327
0.06567344654352189,0.2027017815250691
0.06720233965763639,0.1967952959239317
0.06876682575913627,0.19105186607195282
0.0703677334610485,0.18546715276459516
0.072005910666704,0.1800369292147527
0.0736822250188206,0.17475707818704472
0.07539756435904002,0.16962358920123782
0.07715283719816439,0.16463255583767514
0.07894897319733857,0.15978017311957762
0.08078692366043526,0.15506273489026717
0.08266766203790214,0.15047663132283165
0.08459218444234035,0.14601834648163708
0.08656151017608386,0.14168445591094486
0.08857668227106236,0.13747162435249957
0.09063876804123093,0.13337660338293458
0.09274885964786242,0.12939622925378216
0.09490807467799797,0.1255274207710077
0.09711755673636528,0.12176717713856734
0.09937847605107554,0.11811257591966934
0.10169203009342322,0.11456077104277994
0.10405944421211288,0.11110899083736366
0.1064819722822523,0.10775453614257491
0.10896089736945272,0.10449477843983523
0.11149753240939202,0.10132715806343147
0.11409322090319589,0.09824918245487854
0.11674933762900899,0.09525842439752494
0.11946728937013033,0.09235252039463585
0.12224851566010213,0.08952916898121599
0.1250944895451421,0.08678612916134493
0.1280067183643269,0.08412121889073353
0.13098674454793674,0.08153231350954031
0.1340361464343884,0.07901734427214233
0.13715653910618422,0.07657429697359171
0.14034957524532207,0.0742012104766476
0.14361694600862207,0.0718961753478522
0.14696038192342828,0.06965733260145696
0.1503816538041642,0.06748287232095838
0.15388257369022426,0.06537103243227173
0.15746499580570233,0.06332009747893999
0.16113081754146039,0.06132839738798678
0.1648819804600613,0.059394306331403676
0.1687204713240952,0.05751624155003359
0.17264832314844847,0.05569266226647674
0.1766676162770667,0.05392206862163317
0.1807804794847869,0.052203000556691956
0.1849890911048184,0.050534036822035555
0.18929568018247556,0.048913794003311285
0.19370252765576582,0.047340925469019975
0.19821196756346451,0.04581412045876851
0.20282638828131144,0.04433210316337698
0.20754823378699053,0.042893631798394574
0.21238000495455428,0.0414974977345221
0.21732426087898543,0.040142524621437595
0.222383620231592,0.03882756754976098
0.22756076264696054,0.03755151225541254
0.23285843014219373,0.03631327431534915
0.23827942856919088,0.03511179834207744
0.24382662910073474,0.033946057262572105
0.24950296975117991,0.032815051571687265
0.25531145693253815,0.03171780859790653
0.2612551670467929,0.030653381826298957
0.2673372481152798,0.029620850194952544
0.2735609214460052,0.028619317445359924
0.27992948333977463,0.027647911462918198
0.28644630683604394,0.026705783654751618
0.29311484349941047,0.025792108337196078
0.2999386252477001,0.02490608212292673
0.3069212662226068,0.024046923343415065
0.3140664647038845,0.023213871478181027
0.32137800506809855,0.022406186605591703
0.32885975979298276,0.021623148855433632
0.3365156915084531,0.02086405788947186
0.34434985509537247,0.020128232380333545
0.3523663998331715,0.0194150095177243
0.3605695715974733,0.018723744513902987
0.36896371510887277,0.018053810140481442
0.37755327623407164,0.017404596262117343
0.3863428043405805,0.016775509370152555
0.3953369547062462,0.0161659721639669
0.40454049098486633,0.015575423125253136
0.4139582877292078,0.015003316079013921
0.4235953329727574,0.014449119801472007
0.43345673087158465,0.013912317629462448
0.44354770440769886,0.01339240706785657
0.4538735981553465,0.01288889941925527
0.46443988111170326,0.012401319411380368
0.475252149593474,0.011929204841612355
0.48631613020091763,0.011472106240089892
0.49763768285088034,0.011029586521975153
0.5092228038804327,0.010601220656790077
0.5210776292227705,0.010186595353714765
0.5332084376570404,0.009785308751961826
0.5456216541338299,0.009396970107837894
0.5583238531780673,0.009021199501057306
0.5713217623711543,0.008657627548626166
0.5846222659141526,0.008305895122463691
0.5982324082739227,0.00796565307192432
0.6121593979141561,0.0076365619572774275
0.6264106111132549,0.007318291800744573
0.6409935958710997,0.007010521822282664
0.6559160759067604,0.0067129401922033415
0.6711859547492874,0.0064252437930711155
0.6868113199237255,0.006147137992379127
0.7028004472345847,0.005878336409654663
0.7191618051490254,0.005618560694642618
0.735904059282098,0.0053675403062490865
0.7530360769863857,0.00512501230722389
0.7705669320485045,0.004890721167401461
0.7885059094949287,0.004664418549610325
0.8068625105097144,0.00444586311767128
0.8256464574666906,0.004234820355762815
0.8448676990788133,0.004031062384742734
0.8645364156673849,0.0038343677715110954
0.8846630245539618,0.0036445213591417354
0.9052581855777677,0.0034613140983627104
0.9263328067415654,0.0032845428828263603
0.9478980499889538,0.0031140103863797858
0.9699653371161816,0.0029495249043591694
0.9925463558215694,0.00279090020183915
1.0156530658957756,0.0026379553669997843
1.0392977055561616,0.0024905146623181856
1.0634927979286422,0.002348407381881109
1.0882511576804148,0.002211467726817159
1.1135858978071127,0.002079534654931183
1.1395104365779518,0.0019524517531219281
1.1660385046425832,0.001830067121204238
1.1931841523033746,0.0017122332430616223
1.2209617569570035,0.00159880686083279
1.2493860307092797,0.0014896488622332693
1.2784720281672661,0.0013846241687511492
1.3082351544127786,0.0012836016225184182
1.3386911731615239,0.0011864538795352227
1.3698562151121694,0.001093057300200735
1.4017467864898088,0.0010032918523290764
1.4343797777882927,0.000917041009965054
1.4677724727161021,0.000834191656555816
1.5019425573504621,0.0007546339884781039
1.5369081295046,0.0006782614228927289
1.5726877083130426,0.0006047767304606268
1.6093002440400792,0.0005330812490377336
1.6467651281165514,0.0004627913202806317
1.6851022034103318,0.00039498507959210216
1.72433177473587,0.0003307410623361939
1.7644746196084231,0.00027094205761528384
1.8055519992486269,0.00021628345630639916
1.8475856698432906,0.0001672813198214916
1.89059789406831,0.0001242801723155887
1.9346114528798588,8.746053899041557e-05
1.9796496575800593,5.6846230446936e-05
2.025736362163581,3.23113777101985e-05
2.0728959759516363,0.002764958054358213
2.1211534765201177,0.012203931516364256
2.170534422928682,0.026352658803650775
2.221064969257854,0.03929956618748658
2.272771878461235,0.04608711413280134
2.325682536540215,0.042692197795605846
2.3798249670486546,0.026001852140464098
2.435227845935282,-0.006214652545302516
2.491920516731578,-0.05533690895399354
2.5499330060932675,-0.12192696426810543
2.609296039703592,-0.20576437926432387
2.670041058546862,-0.30588570874179133
2.732200235560817,-0.42062617018495435
2.795806492676656,-0.5476606178019829
2.860893518255813,-0.6840464126210163
2.9274957849326055,-0.826267405182153
2.995648567872306,-0.9702786731292561
3.065387963454223,-1.1115518005429434
3.1367509083897893,-1.245120502500605
3.209775199285669,-1.365626414052075
3.2844995126623275,-1.467364877564317
3.3609634254386056,-1.5487713853437766
3.4392074358932416,-1.6142774683177772
3.5192729851143185,-1.6670052971591658
3.601202478948097,-1.707086372886723
3.6850393104587837,-1.7346842575058898
3.770827882911236,-1.7499918726513193
3.8586136332886407,-1.7532285934582015
3.9484430563577315,-1.7446375244440486
4.040363729294205,-1.724482947882428
4.134424336881499,-1.693047935598102
4.23067469729613,-1.6506321155483492
4.329165788493361,-1.5975495849664116
4.4299497752070875,-1.5341269622450056
4.533080036578374,-1.4607015701119697
4.638611194427096,-1.3776197429989705
4.746599142181813,-1.2852352518718562
4.857101074483077,-1.1839078400977812
4.970175517476005,-1.074001864241581
5.085882359807983,-0.9558850339935537
5.204282884348047,-0.8299272457001846
5.325439800644651,-0.6964995042530784
5.449417278139158,-0.5559729283435165
5.576280980152444,-0.4087178343404797
5.706098098662783,-0.2551028942851989
5.838937389893298,-0.09549436371906367
5.974869210728021,0.06974462472014119
6.113965555975598,0.24025470580014072
6.256300096500583,0.4156808679612443
6.401948218242357,0.595672984829093
6.550987062142547,0.7798862952795046
6.703495565001836,0.9679818351933525
6.859554501288002,1.159626823873864
7.019246525917185,1.3544950079487446
7.182656218031243,1.5522669654350534
7.34987012579412,1.7526303725010728
7.520976812231167,1.955280235328463
7.696066902135521,2.1599190893553484
7.8752331300666345,2.366257168055002
8.058570389466064,2.574012543293162
8.246175782916776,2.7829112391982167
8.438148673572408,2.992687321373004
8.634590737783986,3.2030829631812674
8.83560601895162,3.4138484907426125
9.04130098263,3.6247424081853667
9.251784572916643,3.835531404619966
9.467168270153058,4.045990344211288
9.687566149969019,4.255902240656897
9.91309494370152,4.465058217302016
10.143874100220177,4.673257454048862
10.380025849192146,4.880307122159575
10.62167526581964,5.086022307983676
10.868950337084707,5.290225926579672
11.121982029536044,5.497624601792086
11.38090435865414,5.7000550181912715
11.645854459831043,5.899761913153899
11.916972661002564,6.0962993967384715
12.19440255697158,6.289221579003427
12.478291085461356,6.478082570007205
12.768788604939571,6.662436479808242
13.06604897425393,6.841837418464978
13.370229634121985,7.015839496035851
13.681491690517795,7.183996822579301
13.999999999999998,7.345863508153765
